fid,objectid,cod_rip,cod_reg,cod_prov,pro_com,pro_com_t
282,24922,2,6,30,30005,"030005"
283,25881,3,9,46,46021,"046021"
284,18277,2,6,93,93022,"093022"
285,20975,1,1,1,1213,"001213"
286,17553,5,20,111,111010,"111010"
287,25035,1,3,15,15146,"015146"
288,16009,2,8,99,99014,"099014"
289,22915,2,5,24,24042,"024042"
290,24286,2,5,29,29019,"029019"
291,22803,3,9,48,48020,"048020"
292,17157,1,1,1,1272,"001272"
293,25470,2,8,36,36040,"036040"
294,23498,2,5,23,23036,"023036"
295,22047,4,15,63,63049,"063049"
296,26200,2,6,93,93031,"093031"
297,17611,5,19,84,84038,"084038"
298,26008,4,16,74,74007,"074007"
299,17171,1,3,15,15146,"015146"
300,16608,2,8,33,33032,"033032"
301,18306,1,1,5,5034,"005034"
302,26148,2,6,30,30025,"030025"
303,16951,2,8,37,37044,"037044"
304,24167,2,8,37,37036,"037036"
305,16622,1,3,17,17148,"017148"
306,19172,1,1,96,96039,"096039"
307,21314,1,3,17,17059,"017059"
308,26167,1,3,16,16091,"016091"
309,16844,5,20,92,92109,"092109"
310,18064,1,3,16,16089,"016089"
311,16257,2,5,29,29031,"029031"
312,21561,5,19,84,84027,"084027"
313,23777,1,3,16,16029,"016029"
314,19471,3,12,56,56059,"056059"
315,20428,1,1,6,6114,"006114"
316,23184,3,9,52,52017,"052017"
317,18758,3,12,58,58103,"058103"
318,27488,4,18,78,78156,"078156"
319,21594,2,8,37,37033,"037033"
320,25183,4,13,69,69046,"069046"
321,26037,1,3,16,16091,"016091"
322,23435,4,13,66,66049,"066049"
323,24476,1,3,12,12053,"012053"
324,24281,4,13,68,68028,"068028"
325,19308,1,1,1,1068,"001068"
326,19963,2,5,26,26089,"026089"
327,24919,2,6,30,30005,"030005"
328,27088,1,3,108,108009,"108009"
329,23113,3,9,47,47005,"047005"
330,18310,1,1,3,3133,"003133"
331,16553,1,3,19,19084,"019084"
332,22303,2,8,37,37006,"037006"
333,24022,1,3,16,16146,"016146"
334,24302,1,2,7,7049,"007049"
335,24197,1,1,1,1272,"001272"
336,24970,2,5,27,27003,"027003"
337,17414,4,18,78,78150,"078150"
338,21725,2,8,99,99014,"099014"
339,27084,3,11,42,42032,"042032"
340,26927,2,5,23,23005,"023005"
341,21411,1,3,17,17001,"017001"
342,19273,1,3,15,15011,"015011"
343,31244,3,9,48,48035,"048035"
344,26531,4,15,63,63049,"063049"
345,23385,1,3,15,15146,"015146"
346,25712,1,3,20,20062,"020062"
347,18319,1,3,17,17103,"017103"
348,24580,2,8,99,99014,"099014"
349,22574,4,15,63,63049,"063049"
350,19102,4,18,101,101013,"101013"
351,24572,1,1,6,6115,"006115"
352,20110,2,5,26,26015,"026015"
353,17503,5,19,86,86017,"086017"
354,22357,1,2,7,7022,"007022"
355,27613,3,11,44,44065,"044065"
356,25101,3,12,58,58091,"058091"
357,25168,3,9,53,53011,"053011"
358,22836,5,19,84,84035,"084035"
359,23915,1,1,96,96004,"096004"
360,25167,3,9,50,50010,"050010"
361,16062,1,3,15,15146,"015146"
362,19714,1,1,1,1272,"001272"
363,21876,1,3,12,12127,"012127"
364,19626,2,5,24,24082,"024082"
365,20534,2,5,24,24021,"024021"
366,21446,5,19,82,82070,"082070"
367,26366,3,12,56,56055,"056055"
368,23420,4,15,63,63049,"063049"
369,21627,4,15,63,63049,"063049"
370,26508,4,15,63,63049,"063049"
371,21038,3,9,53,53010,"053010"
372,21093,3,9,49,49012,"049012"
373,22601,3,11,42,42023,"042023"
374,22186,1,7,9,9056,"009056"
375,17978,1,3,18,18137,"018137"
376,17736,1,1,6,6009,"006009"
377,30969,3,12,58,58091,"058091"
378,20214,4,16,75,75038,"075038"
379,19207,2,8,36,36046,"036046"
380,19183,2,5,26,26074,"026074"
381,15777,1,7,10,10025,"010025"
382,19604,1,3,15,15146,"015146"
383,19832,2,5,28,28016,"028016"
384,20150,3,12,56,56023,"056023"
385,17865,1,3,16,16091,"016091"
386,19948,2,5,24,24117,"024117"
387,26131,3,9,46,46031,"046031"
388,23988,1,3,15,15060,"015060"
389,18436,1,3,17,17206,"017206"
390,20640,2,8,34,34040,"034040"
391,22921,1,1,2,2071,"002071"
392,20927,2,8,33,33032,"033032"
393,23736,4,15,63,63049,"063049"
394,18957,4,15,63,63049,"063049"
395,17316,1,3,98,98038,"098038"
396,24909,2,5,23,23063,"023063"
397,16931,5,19,84,84001,"084001"
398,16922,2,5,27,27034,"027034"
399,25861,1,3,16,16023,"016023"
400,17724,4,13,68,68028,"068028"
401,16915,3,12,58,58115,"058115"
402,19979,2,5,26,26089,"026089"
403,22705,2,8,39,39012,"039012"
404,14771,3,12,56,56055,"056055"
405,21375,1,2,7,7051,"007051"
406,23960,5,19,81,81018,"081018"
407,25191,2,5,26,26032,"026032"
408,19215,2,5,24,24090,"024090"
409,19775,4,13,69,69067,"069067"
410,23473,1,1,1,1097,"001097"
411,19357,1,3,20,20044,"020044"
412,21066,3,9,45,45006,"045006"
413,18809,2,5,26,26089,"026089"
414,17141,1,1,1,1272,"001272"
415,19779,4,14,70,70057,"070057"
416,14582,1,1,3,3043,"003043"
417,23395,4,15,63,63049,"063049"
418,24910,3,12,56,56050,"056050"
419,27506,1,3,15,15087,"015087"
420,25627,3,12,56,56029,"056029"
421,18647,2,8,40,40008,"040008"
422,26104,1,3,15,15146,"015146"
423,19495,1,2,7,7032,"007032"
424,16075,1,1,2,2107,"002107"
425,24061,2,5,23,23096,"023096"
426,19214,2,5,24,24090,"024090"
427,16141,2,8,99,99014,"099014"
428,23299,2,5,29,29041,"029041"
429,20472,2,8,99,99014,"099014"
430,18082,4,16,75,75063,"075063"
431,17922,4,15,62,62050,"062050"
432,26451,4,15,63,63049,"063049"
433,16881,1,3,16,16024,"016024"
434,22166,4,15,63,63049,"063049"
435,27012,2,6,30,30053,"030053"
436,24951,2,5,23,23055,"023055"
437,18968,4,15,63,63049,"063049"
438,20391,1,3,17,17133,"017133"
439,21637,3,12,58,58091,"058091"
440,17074,2,5,26,26086,"026086"
441,30894,3,12,58,58091,"058091"
442,18702,2,5,26,26025,"026025"
443,21368,2,5,25,25003,"025003"
444,23944,1,1,6,6011,"006011"
445,24267,3,9,53,53011,"053011"
446,21699,2,5,23,23096,"023096"
447,16719,3,12,58,58119,"058119"
448,15791,1,7,10,10025,"010025"
449,22958,1,2,7,7039,"007039"
450,18261,2,5,23,23060,"023060"
451,22718,1,3,16,16137,"016137"
452,21389,1,3,19,19035,"019035"
453,30972,3,9,48,48035,"048035"
454,24550,1,3,19,19029,"019029"
455,19126,1,1,1,1272,"001272"
456,17639,4,13,68,68028,"068028"
457,24823,4,15,63,63049,"063049"
458,14545,1,1,6,6047,"006047"
459,26123,1,3,108,108008,"108008"
460,27463,1,7,8,8031,"008031"
461,21233,2,5,26,26086,"026086"
462,22602,2,5,23,23064,"023064"
463,24889,4,15,63,63049,"063049"
464,24223,1,1,103,103075,"103075"
465,21852,2,8,99,99014,"099014"
466,23955,1,3,108,108020,"108020"
467,17965,2,5,23,23049,"023049"
468,16321,1,3,108,108006,"108006"
469,26970,3,11,43,43015,"043015"
470,18474,1,1,1,1210,"001210"
471,21740,2,6,30,30091,"030091"
472,19068,2,5,27,27017,"027017"
473,20993,3,11,42,42027,"042027"
474,22974,1,2,7,7039,"007039"
475,27080,1,3,16,16148,"016148"
476,21642,1,3,16,16232,"016232"
477,18863,1,3,15,15146,"015146"
478,26190,4,16,110,110003,"110003"
479,21191,1,3,20,20002,"020002"
480,23106,3,9,47,47005,"047005"
481,27308,3,9,53,53011,"053011"
482,20879,3,9,49,49009,"049009"
483,20406,2,5,28,28100,"028100"
484,15460,2,8,37,37059,"037059"
485,24997,1,1,1,1272,"001272"
486,23121,3,11,43,43033,"043033"
487,18699,1,3,108,108023,"108023"
488,25721,1,3,17,17063,"017063"
489,25983,3,9,53,53010,"053010"
490,30462,3,9,48,48043,"048043"
491,16458,3,9,45,45009,"045009"
492,27953,4,13,67,67041,"067041"
493,24870,4,15,63,63049,"063049"
494,17330,1,3,15,15146,"015146"
495,25698,2,5,29,29040,"029040"
496,23019,2,5,28,28032,"028032"
497,16182,1,3,18,18138,"018138"
498,18779,3,12,60,60075,"060075"
499,23571,4,15,63,63049,"063049"
500,17018,2,8,40,40008,"040008"
501,17213,1,1,1,1272,"001272"
502,20420,4,14,94,94042,"094042"
503,22400,1,3,12,12042,"012042"
504,18027,3,9,50,50022,"050022"
505,21030,1,7,10,10012,"010012"
506,16499,2,8,39,39011,"039011"
507,24002,4,15,63,63049,"063049"
508,22472,2,8,36,36045,"036045"
509,15762,1,7,10,10025,"010025"
510,18339,2,5,27,27042,"027042"
511,22427,2,5,27,27020,"027020"
512,19381,3,9,46,46005,"046005"
513,16764,2,8,33,33032,"033032"
514,20648,3,11,43,43038,"043038"
515,31205,3,12,58,58091,"058091"
516,23798,1,1,1,1315,"001315"
517,27188,1,1,1,1272,"001272"
518,21866,1,3,16,16133,"016133"
519,27064,3,9,48,48017,"048017"
520,22349,4,13,67,67040,"067040"
521,25124,3,9,51,51008,"051008"
522,16314,1,3,16,16120,"016120"
523,26286,4,13,68,68024,"068024"
524,23715,2,4,22,22007,"022007"
525,27716,2,8,35,35033,"035033"
526,21921,1,1,3,3139,"003139"
527,20675,5,19,88,88009,"088009"
528,31208,3,12,58,58091,"058091"
529,22514,1,3,12,12136,"012136"
530,27278,1,1,1,1272,"001272"
531,27951,1,7,10,10025,"010025"
532,16322,1,3,108,108006,"108006"
